Plot,GroupedTreeSpecies,Treedata.Tree_Decay,Treedata.DBH_cm ,,
1,2,4,25,,
1,2,4,26.5,,
1,2,4,52.5,,
1,2,4,19.5,,
1,2,3,11,,
1,2,2,9,,
1,2,5,9.5,,
1,2,3,13,,
1,2,4,58.5,,
1,1,5,12.5,,
1,2,4,13,,
1,1,2,10,,
1,2,2,9.5,,
1,1,2,14,,
1,1,4,24,,
1,1,4,25.5,,
1,1,4,12,,
1,1,4,13.5,,
1,1,4,20,,
1,1,1,31,,
1,2,2,32,,
1,1,3,9.5,,
1,1,2,10,,
1,1,3,8.5,,
1,2,5,23,,
1,2,4,51.5,,
1,2,4,17.5,,
1,2,3,10.5,,
1,1,1,11,,
1,2,4,31.5,,
1,2,2,31.5,,
2,2,2,12,,
2,2,2,12.5,,
2,2,3,25.5,,
2,2,3,28.5,,
2,2,3,11,,
2,2,4,8,,
2,2,2,18.5,,
2,2,3,19.5,,
2,2,2,24.5,,
2,2,3,12.5,,
2,2,2,8,,
2,2,4,20,,
2,2,3,15.5,,
2,2,4,10,,
2,2,1,26,,
2,2,4,12.5,,
2,2,3,13.5,,
2,2,2,48,,
2,2,1,20,,
2,2,2,13.5,,
2,2,3,21,,
2,2,3,14.5,,
2,2,2,21.1,,
2,2,2,24,,
2,2,3,13.5,,
2,2,3,25,,
2,2,4,24,,
2,2,2,18,,
2,2,3,13,,
2,2,3,23.5,,
2,2,4,7,,
2,2,1,30,,
2,2,1,36,,
2,2,2,27.5,,
2,2,4,54,,
3,1,4,41,,
3,2,3,26,,
3,2,4,20.5,,
3,2,2,52,,
3,2,3,41.5,,
3,2,3,42,,
3,2,4,21,,
3,2,2,43,,
3,2,2,51,,
3,2,3,14.5,,
3,2,3,24.5,,
3,2,3,27,,
3,2,4,73.5,,
3,2,4,56,,
3,2,3,37,,
3,2,3,21,,
3,2,3,32.5,,
3,2,3,39,,
3,2,4,75.5,,
3,2,4,55,,
3,2,5,45,,
3,2,3,24.5,,
3,2,2,9.5,,
3,2,4,19.5,,
3,2,5,21.5,,
3,1,2,13,,
3,2,3,42,,
3,2,4,28,,
3,2,5,38,,
3,2,3,14.5,,
3,1,2,16,,
3,1,2,15.5,,
5,2,3,16,,
5,2,3,25,,
5,2,4,30.5,,
5,2,3,9.5,,
5,2,2,38.5,,
5,2,5,30,,
5,2,2,29,,
5,1,3,7,,
5,1,2,37.5,,
5,2,4,38.5,,
5,2,3,43.5,,
5,2,3,37.5,,
5,2,4,12,,
5,2,3,38,,
5,2,4,10,,
5,2,4,60,,
5,2,3,50.5,,
5,2,4,11.5,,
5,2,3,23.5,,
5,2,4,32,,
5,2,3,38.5,,
5,2,4,41,,
5,2,2,38,,
5,2,3,27.5,,
5,2,4,19.5,,
5,2,4,7,,
5,2,4,21.5,,
5,2,4,31.5,,
